anio,grupo,pais,pts,pj,pg,pe,pp,gf,gc,diferencia,clasificado
2014,Grupo A,Brasil,7,3,2,1,0,7,2,5,Si
2014,Grupo A,México,7,3,2,1,0,4,1,3,Si
2014,Grupo A,Croacia,3,3,1,0,2,6,6,0,No
2014,Grupo A,Camerún,0,3,0,0,3,1,9,-8,No
2014,Grupo B,Paises Bajos,9,3,3,0,0,10,3,7,Si
2014,Grupo B,Chile,6,3,2,0,1,5,3,2,Si
2014,Grupo B,España,3,3,1,0,2,4,7,-3,No
2014,Grupo B,Australia,0,3,0,0,3,3,9,-6,No
2014,Grupo C,Colombia,9,3,3,0,0,9,2,7,Si
2014,Grupo C,Grecia,4,3,1,1,1,2,4,-2,Si
2014,Grupo C,Costa de Marfil,3,3,1,0,2,4,5,-1,No
2014,Grupo C,Japón,1,3,0,1,2,2,6,-4,No
2014,Grupo D,Costa Rica,7,3,2,1,0,4,1,3,Si
2014,Grupo D,Uruguay,6,3,2,0,1,4,4,0,Si
2014,Grupo D,Italia,3,3,1,0,2,2,3,-1,No
2014,Grupo D,Inglaterra,1,3,0,1,2,2,4,-2,No
2014,Grupo E,Francia,7,3,2,1,0,8,2,6,Si
2014,Grupo E,Suiza,6,3,2,0,1,7,6,1,Si
2014,Grupo E,Ecuador,4,3,1,1,1,3,3,0,No
2014,Grupo E,Honduras,0,3,0,0,3,1,8,-7,No
2014,Grupo F,Argentina,9,3,3,0,0,6,3,3,Si
2014,Grupo F,Nigeria,4,3,1,1,1,3,3,0,Si
2014,Grupo F,Bosnia-Herzegovina,3,3,1,0,2,4,4,0,No
2014,Grupo F,Irán,1,3,0,1,2,1,4,-3,No
2014,Grupo G,Alemania,7,3,2,1,0,7,2,5,Si
2014,Grupo G,Estados Unidos,4,3,1,1,1,4,4,0,Si
2014,Grupo G,Portugal,4,3,1,1,1,4,7,-3,No
2014,Grupo G,Ghana,1,3,0,1,2,4,6,-2,No
2014,Grupo H,Bélgica,9,3,3,0,0,4,1,3,Si
2014,Grupo H,Argelia,4,3,1,1,1,6,5,1,Si
2014,Grupo H,Rusia,2,3,0,2,1,2,3,-1,No
2014,Grupo H,Corea del Sur,1,3,0,1,2,3,6,-3,No
