id_grupo,anio,nombre
1,2022,Grupo A
2,2022,Grupo B
3,2022,Grupo C
4,2022,Grupo D
5,2022,Grupo E
6,2022,Grupo F
7,2022,Grupo G
8,2022,Grupo H
