anio,num_partido,fecha,etapa,local,visitante,goles_local,goles_visitante,tiempo_extra,penales,penales_local,penales_visitante
2010,1,11-Jun-2010,"1ra Ronda, Grupo A",Sudáfrica,México,1,1,NO,NO,,
2010,2,11-Jun-2010,"1ra Ronda, Grupo A",Uruguay,Francia,0,0,NO,NO,,
2010,3,12-Jun-2010,"1ra Ronda, Grupo B",Argentina,Nigeria,1,0,NO,NO,,
2010,4,12-Jun-2010,"1ra Ronda, Grupo B",Corea del Sur,Grecia,2,0,NO,NO,,
2010,5,12-Jun-2010,"1ra Ronda, Grupo C",Inglaterra,Estados Unidos,1,1,NO,NO,,
2010,6,13-Jun-2010,"1ra Ronda, Grupo C",Argelia,Eslovenia,0,1,NO,NO,,
2010,7,13-Jun-2010,"1ra Ronda, Grupo D",Alemania,Australia,4,0,NO,NO,,
2010,8,13-Jun-2010,"1ra Ronda, Grupo D",Serbia,Ghana,0,1,NO,NO,,
2010,9,14-Jun-2010,"1ra Ronda, Grupo E",Paises Bajos,Dinamarca,2,0,NO,NO,,
2010,10,14-Jun-2010,"1ra Ronda, Grupo E",Japón,Camerún,1,0,NO,NO,,
2010,11,14-Jun-2010,"1ra Ronda, Grupo F",Italia,Paraguay,1,1,NO,NO,,
2010,12,15-Jun-2010,"1ra Ronda, Grupo F",Nueva Zelanda,Eslovaquia,1,1,NO,NO,,
2010,13,15-Jun-2010,"1ra Ronda, Grupo G",Costa de Marfil,Portugal,0,0,NO,NO,,
2010,14,15-Jun-2010,"1ra Ronda, Grupo G",Brasil,Corea del Norte,2,1,NO,NO,,
2010,15,16-Jun-2010,"1ra Ronda, Grupo H",Honduras,Chile,0,1,NO,NO,,
2010,16,16-Jun-2010,"1ra Ronda, Grupo H",España,Suiza,0,1,NO,NO,,
2010,17,16-Jun-2010,"1ra Ronda, Grupo A",Sudáfrica,Uruguay,0,3,NO,NO,,
2010,18,17-Jun-2010,"1ra Ronda, Grupo A",Francia,México,0,2,NO,NO,,
2010,19,17-Jun-2010,"1ra Ronda, Grupo B",Grecia,Nigeria,2,1,NO,NO,,
2010,20,17-Jun-2010,"1ra Ronda, Grupo B",Argentina,Corea del Sur,4,1,NO,NO,,
2010,21,18-Jun-2010,"1ra Ronda, Grupo D",Alemania,Serbia,0,1,NO,NO,,
2010,22,18-Jun-2010,"1ra Ronda, Grupo C",Eslovenia,Estados Unidos,2,2,NO,NO,,
2010,23,18-Jun-2010,"1ra Ronda, Grupo C",Inglaterra,Argelia,0,0,NO,NO,,
2010,24,19-Jun-2010,"1ra Ronda, Grupo D",Ghana,Australia,1,1,NO,NO,,
2010,25,19-Jun-2010,"1ra Ronda, Grupo E",Paises Bajos,Japón,1,0,NO,NO,,
2010,26,19-Jun-2010,"1ra Ronda, Grupo E",Camerún,Dinamarca,1,2,NO,NO,,
2010,27,20-Jun-2010,"1ra Ronda, Grupo F",Eslovaquia,Paraguay,0,2,NO,NO,,
2010,28,20-Jun-2010,"1ra Ronda, Grupo F",Italia,Nueva Zelanda,1,1,NO,NO,,
2010,29,20-Jun-2010,"1ra Ronda, Grupo G",Brasil,Costa de Marfil,3,1,NO,NO,,
2010,30,21-Jun-2010,"1ra Ronda, Grupo G",Portugal,Corea del Norte,7,0,NO,NO,,
2010,31,21-Jun-2010,"1ra Ronda, Grupo H",Chile,Suiza,1,0,NO,NO,,
2010,32,21-Jun-2010,"1ra Ronda, Grupo H",España,Honduras,2,0,NO,NO,,
2010,33,22-Jun-2010,"1ra Ronda, Grupo A",México,Uruguay,0,1,NO,NO,,
2010,34,22-Jun-2010,"1ra Ronda, Grupo A",Francia,Sudáfrica,1,2,NO,NO,,
2010,35,22-Jun-2010,"1ra Ronda, Grupo B",Nigeria,Corea del Sur,2,2,NO,NO,,
2010,36,22-Jun-2010,"1ra Ronda, Grupo B",Grecia,Argentina,0,2,NO,NO,,
2010,37,23-Jun-2010,"1ra Ronda, Grupo C",Eslovenia,Inglaterra,0,1,NO,NO,,
2010,38,23-Jun-2010,"1ra Ronda, Grupo C",Estados Unidos,Argelia,1,0,NO,NO,,
2010,39,23-Jun-2010,"1ra Ronda, Grupo D",Ghana,Alemania,0,1,NO,NO,,
2010,40,23-Jun-2010,"1ra Ronda, Grupo D",Australia,Serbia,2,1,NO,NO,,
2010,41,24-Jun-2010,"1ra Ronda, Grupo F",Eslovaquia,Italia,3,2,NO,NO,,
2010,42,24-Jun-2010,"1ra Ronda, Grupo F",Paraguay,Nueva Zelanda,0,0,NO,NO,,
2010,43,24-Jun-2010,"1ra Ronda, Grupo E",Dinamarca,Japón,1,3,NO,NO,,
2010,44,24-Jun-2010,"1ra Ronda, Grupo E",Camerún,Paises Bajos,1,2,NO,NO,,
2010,45,25-Jun-2010,"1ra Ronda, Grupo G",Portugal,Brasil,0,0,NO,NO,,
2010,46,25-Jun-2010,"1ra Ronda, Grupo G",Corea del Norte,Costa de Marfil,0,3,NO,NO,,
2010,47,25-Jun-2010,"1ra Ronda, Grupo H",Chile,España,1,2,NO,NO,,
