anio,grupo,pais,pts,pj,pg,pe,pp,gf,gc,diferencia,clasificado
2010,Grupo A,Uruguay,7,3,2,1,0,4,0,4,Si
2010,Grupo A,México,4,3,1,1,1,3,2,1,Si
2010,Grupo A,Sudáfrica,4,3,1,1,1,3,5,-2,No
2010,Grupo A,Francia,1,3,0,1,2,1,4,-3,No
2010,Grupo B,Argentina,9,3,3,0,0,7,1,6,Si
2010,Grupo B,Corea del Sur,4,3,1,1,1,5,6,-1,Si
2010,Grupo B,Grecia,3,3,1,0,2,2,5,-3,No
2010,Grupo B,Nigeria,1,3,0,1,2,3,5,-2,No
2010,Grupo C,Estados Unidos,5,3,1,2,0,4,3,1,Si
2010,Grupo C,Inglaterra,5,3,1,2,0,2,1,1,Si
2010,Grupo C,Eslovenia,4,3,1,1,1,3,3,0,No
2010,Grupo C,Argelia,1,3,0,1,2,0,2,-2,No
2010,Grupo D,Alemania,6,3,2,0,1,5,1,4,Si
2010,Grupo D,Ghana,4,3,1,1,1,2,2,0,Si
2010,Grupo D,Australia,4,3,1,1,1,3,6,-3,No
2010,Grupo D,Serbia,3,3,1,0,2,2,3,-1,No
2010,Grupo E,Paises Bajos,9,3,3,0,0,5,1,4,Si
2010,Grupo E,Japón,6,3,2,0,1,4,2,2,Si
2010,Grupo E,Dinamarca,3,3,1,0,2,3,6,-3,No
2010,Grupo E,Camerún,0,3,0,0,3,2,5,-3,No
2010,Grupo F,Paraguay,5,3,1,2,0,3,1,2,Si
2010,Grupo F,Eslovaquia,4,3,1,1,1,4,5,-1,Si
2010,Grupo F,Nueva Zelanda,3,3,0,3,0,2,2,0,No
2010,Grupo F,Italia,2,3,0,2,1,4,5,-1,No
2010,Grupo G,Brasil,7,3,2,1,0,5,2,3,Si
2010,Grupo G,Portugal,5,3,1,2,0,7,0,7,Si
2010,Grupo G,Costa de Marfil,4,3,1,1,1,4,3,1,No
2010,Grupo G,Corea del Norte,0,3,0,0,3,1,12,-11,No
2010,Grupo H,España,6,3,2,0,1,4,2,2,Si
2010,Grupo H,Chile,6,3,2,0,1,3,2,1,Si
2010,Grupo H,Suiza,4,3,1,1,1,1,1,0,No
2010,Grupo H,Honduras,1,3,0,1,2,0,3,-3,No
