anio,grupo,selecciones
1986,Grupo A,"Argentina, Bulgaria, Corea del Sur, Italia"
1986,Grupo B,"Bélgica, Iraq, México, Paraguay"
1986,Grupo C,"Canadá, Francia, Hungría, URSS"
1986,Grupo D,"Argelia, Brasil, España, Irlanda del Norte"
1986,Grupo E,"Alemania Occidental, Dinamarca, Escocia, Uruguay"
1986,Grupo F,"Inglaterra, Marruecos, Polonia, Portugal"
