anio,grupo,pais,pts,pj,pg,pe,pp,gf,gc,diferencia,clasificado
1986,Grupo A,Argentina,5,3,2,1,0,6,2,4,Si
1986,Grupo A,Italia,4,3,1,2,0,5,4,1,Si
1986,Grupo A,Bulgaria,2,3,0,2,1,2,4,-2,Si
1986,Grupo A,Corea del Sur,1,3,0,1,2,4,7,-3,No
1986,Grupo B,México,5,3,2,1,0,4,2,2,Si
1986,Grupo B,Paraguay,4,3,1,2,0,4,3,1,Si
1986,Grupo B,Bélgica,3,3,1,1,1,5,5,0,Si
1986,Grupo B,Iraq,0,3,0,0,3,1,4,-3,No
1986,Grupo C,URSS,5,3,2,1,0,9,1,8,Si
1986,Grupo C,Francia,5,3,2,1,0,5,1,4,Si
1986,Grupo C,Hungría,2,3,1,0,2,2,9,-7,No
1986,Grupo C,Canadá,0,3,0,0,3,0,5,-5,No
1986,Grupo D,Brasil,6,3,3,0,0,5,0,5,Si
1986,Grupo D,España,4,3,2,0,1,5,2,3,Si
1986,Grupo D,Irlanda del Norte,1,3,0,1,2,2,6,-4,No
1986,Grupo D,Argelia,1,3,0,1,2,1,5,-4,No
1986,Grupo E,Dinamarca,6,3,3,0,0,9,1,8,Si
1986,Grupo E,Alemania Occidental,3,3,1,1,1,3,4,-1,Si
1986,Grupo E,Uruguay,2,3,0,2,1,2,7,-5,Si
1986,Grupo E,Escocia,1,3,0,1,2,1,3,-2,No
1986,Grupo F,Marruecos,4,3,1,2,0,3,1,2,Si
1986,Grupo F,Inglaterra,3,3,1,1,1,3,1,2,Si
1986,Grupo F,Polonia,3,3,1,1,1,1,3,-2,Si
1986,Grupo F,Portugal,2,3,1,0,2,2,4,-2,No
