anio,grupo,pais,pts,pj,pg,pe,pp,gf,gc,diferencia,clasificado
1990,Grupo A,Italia,6,3,3,0,0,4,0,4,Si
1990,Grupo A,Checoslovaquia,4,3,2,0,1,6,3,3,Si
1990,Grupo A,Austria,2,3,1,0,2,2,3,-1,No
1990,Grupo A,Estados Unidos,0,3,0,0,3,2,8,-6,No
1990,Grupo B,Camerún,4,3,2,0,1,3,5,-2,Si
1990,Grupo B,Rumania,3,3,1,1,1,4,3,1,Si
1990,Grupo B,Argentina,3,3,1,1,1,3,2,1,Si
1990,Grupo B,URSS,2,3,1,0,2,4,4,0,No
1990,Grupo C,Brasil,6,3,3,0,0,4,1,3,Si
1990,Grupo C,Costa Rica,4,3,2,0,1,3,2,1,Si
1990,Grupo C,Escocia,2,3,1,0,2,2,3,-1,No
1990,Grupo C,Suecia,0,3,0,0,3,3,6,-3,No
1990,Grupo D,Alemania Occidental,5,3,2,1,0,10,3,7,Si
1990,Grupo D,Yugoslavia,4,3,2,0,1,6,5,1,Si
1990,Grupo D,Colombia,3,3,1,1,1,3,2,1,Si
1990,Grupo D,Emiratos Arabes,0,3,0,0,3,2,11,-9,No
1990,Grupo E,España,5,3,2,1,0,5,2,3,Si
1990,Grupo E,Bélgica,4,3,2,0,1,6,3,3,Si
1990,Grupo E,Uruguay,3,3,1,1,1,2,3,-1,Si
1990,Grupo E,Corea del Sur,0,3,0,0,3,1,6,-5,No
1990,Grupo F,Inglaterra,4,3,1,2,0,2,1,1,Si
1990,Grupo F,Irlanda,3,3,0,3,0,2,2,0,Si
1990,Grupo F,Paises Bajos,3,3,0,3,0,2,2,0,Si
1990,Grupo F,Egipto,2,3,0,2,1,1,2,-1,No
