anio,num_partido,fecha,etapa,local,visitante,goles_local,goles_visitante,tiempo_extra,penales,penales_local,penales_visitante
1990,1,08-Jun-1990,"1ra Ronda, Grupo B",Argentina,Camerún,0,1,NO,NO,,
1990,2,09-Jun-1990,"1ra Ronda, Grupo B",URSS,Rumania,0,2,NO,NO,,
1990,3,09-Jun-1990,"1ra Ronda, Grupo A",Italia,Austria,1,0,NO,NO,,
1990,4,09-Jun-1990,"1ra Ronda, Grupo D",Emiratos Arabes,Colombia,0,2,NO,NO,,
1990,5,10-Jun-1990,"1ra Ronda, Grupo A",Estados Unidos,Checoslovaquia,1,5,NO,NO,,
1990,6,10-Jun-1990,"1ra Ronda, Grupo C",Brasil,Suecia,2,1,NO,NO,,
1990,7,10-Jun-1990,"1ra Ronda, Grupo D",Alemania Occidental,Yugoslavia,4,1,NO,NO,,
1990,8,11-Jun-1990,"1ra Ronda, Grupo C",Costa Rica,Escocia,1,0,NO,NO,,
1990,9,11-Jun-1990,"1ra Ronda, Grupo F",Inglaterra,Irlanda,1,1,NO,NO,,
1990,10,12-Jun-1990,"1ra Ronda, Grupo E",Bélgica,Corea del Sur,2,0,NO,NO,,
1990,11,12-Jun-1990,"1ra Ronda, Grupo F",Paises Bajos,Egipto,1,1,NO,NO,,
1990,12,13-Jun-1990,"1ra Ronda, Grupo E",Uruguay,España,0,0,NO,NO,,
1990,13,13-Jun-1990,"1ra Ronda, Grupo B",Argentina,URSS,2,0,NO,NO,,
1990,14,14-Jun-1990,"1ra Ronda, Grupo D",Yugoslavia,Colombia,1,0,NO,NO,,
1990,15,14-Jun-1990,"1ra Ronda, Grupo A",Italia,Estados Unidos,1,0,NO,NO,,
1990,16,14-Jun-1990,"1ra Ronda, Grupo B",Camerún,Rumania,2,1,NO,NO,,
1990,17,15-Jun-1990,"1ra Ronda, Grupo A",Austria,Checoslovaquia,0,1,NO,NO,,
1990,18,15-Jun-1990,"1ra Ronda, Grupo D",Alemania Occidental,Emiratos Arabes,5,1,NO,NO,,
1990,19,16-Jun-1990,"1ra Ronda, Grupo C",Brasil,Costa Rica,1,0,NO,NO,,
1990,20,16-Jun-1990,"1ra Ronda, Grupo C",Suecia,Escocia,1,2,NO,NO,,
1990,21,16-Jun-1990,"1ra Ronda, Grupo F",Inglaterra,Paises Bajos,0,0,NO,NO,,
1990,22,17-Jun-1990,"1ra Ronda, Grupo F",Irlanda,Egipto,0,0,NO,NO,,
1990,23,17-Jun-1990,"1ra Ronda, Grupo E",Bélgica,Uruguay,3,1,NO,NO,,
1990,24,17-Jun-1990,"1ra Ronda, Grupo E",Corea del Sur,España,1,3,NO,NO,,
1990,25,18-Jun-1990,"1ra Ronda, Grupo B",Argentina,Rumania,1,1,NO,NO,,
1990,26,18-Jun-1990,"1ra Ronda, Grupo B",Camerún,URSS,0,4,NO,NO,,
1990,27,19-Jun-1990,"1ra Ronda, Grupo D",Alemania Occidental,Colombia,1,1,NO,NO,,
1990,28,19-Jun-1990,"1ra Ronda, Grupo D",Yugoslavia,Emiratos Arabes,4,1,NO,NO,,
1990,29,19-Jun-1990,"1ra Ronda, Grupo A",Italia,Checoslovaquia,2,0,NO,NO,,
1990,30,19-Jun-1990,"1ra Ronda, Grupo A",Austria,Estados Unidos,2,1,NO,NO,,
1990,31,20-Jun-1990,"1ra Ronda, Grupo C",Brasil,Escocia,1,0,NO,NO,,
1990,32,20-Jun-1990,"1ra Ronda, Grupo C",Suecia,Costa Rica,1,2,NO,NO,,
1990,33,21-Jun-1990,"1ra Ronda, Grupo E",Bélgica,España,1,2,NO,NO,,
1990,34,21-Jun-1990,"1ra Ronda, Grupo E",Corea del Sur,Uruguay,0,1,NO,NO,,
1990,35,21-Jun-1990,"1ra Ronda, Grupo F",Inglaterra,Egipto,1,0,NO,NO,,
1990,36,21-Jun-1990,"1ra Ronda, Grupo F",Irlanda,Paises Bajos,1,1,NO,NO,,
1990,37,23-Jun-1990,Octavos,Camerún,Colombia,2,1,SI,NO,,
1990,38,23-Jun-1990,Octavos,Checoslovaquia,Costa Rica,4,1,NO,NO,,
1990,39,24-Jun-1990,Octavos,Brasil,Argentina,0,1,NO,NO,,
1990,40,24-Jun-1990,Octavos,Alemania Occidental,Paises Bajos,2,1,NO,NO,,
1990,41,25-Jun-1990,Octavos,Irlanda,Rumania,0,0,SI,SI,5,4
1990,42,25-Jun-1990,Octavos,Italia,Uruguay,2,0,NO,NO,,
1990,43,26-Jun-1990,Octavos,España,Yugoslavia,1,2,SI,NO,,
1990,44,26-Jun-1990,Octavos,Inglaterra,Bélgica,1,0,SI,NO,,
1990,45,30-Jun-1990,Cuartos,Argentina,Yugoslavia,0,0,SI,SI,3,2
1990,46,30-Jun-1990,Cuartos,Italia,Irlanda,1,0,NO,NO,,
1990,47,01-Jul-1990,Cuartos,Alemania Occidental,Checoslovaquia,1,0,NO,NO,,
1990,48,01-Jul-1990,Cuartos,Camerún,Inglaterra,2,3,SI,NO,,
1990,49,03-Jul-1990,Semis,Italia,Argentina,1,1,SI,SI,3,4
1990,50,04-Jul-1990,Semis,Inglaterra,Alemania Occidental,1,1,SI,SI,3,4
1990,51,07-Jul-1990,3er Puesto,Italia,Inglaterra,2,1,NO,NO,,
1990,52,08-Jul-1990,Final,Argentina,Alemania Occidental,0,1,NO,NO,,
