anio,grupo,selecciones
1994,Grupo A,"Colombia, Estados Unidos, Rumania, Suiza"
1994,Grupo B,"Brasil, Camerún, Rusia, Suecia"
1994,Grupo C,"Alemania, Bolivia, Corea del Sur, España"
1994,Grupo D,"Argentina, Bulgaria, Grecia, Nigeria"
1994,Grupo E,"Irlanda, Italia, México, Noruega"
1994,Grupo F,"Arabia Saudita, Bélgica, Marruecos, Paises Bajos"
