anio,num_partido,fecha,etapa,local,visitante,goles_local,goles_visitante,tiempo_extra,penales,penales_local,penales_visitante
1994,1,17-Jun-1994,"1ra Ronda, Grupo C",Alemania,Bolivia,1,0,NO,NO,,
1994,2,17-Jun-1994,"1ra Ronda, Grupo C",España,Corea del Sur,2,2,NO,NO,,
1994,3,18-Jun-1994,"1ra Ronda, Grupo A",Estados Unidos,Suiza,1,1,NO,NO,,
1994,4,18-Jun-1994,"1ra Ronda, Grupo E",Italia,Irlanda,0,1,NO,NO,,
1994,5,18-Jun-1994,"1ra Ronda, Grupo A",Colombia,Rumania,1,3,NO,NO,,
1994,6,19-Jun-1994,"1ra Ronda, Grupo F",Bélgica,Marruecos,1,0,NO,NO,,
1994,7,19-Jun-1994,"1ra Ronda, Grupo E",Noruega,México,1,0,NO,NO,,
1994,8,19-Jun-1994,"1ra Ronda, Grupo B",Camerún,Suecia,2,2,NO,NO,,
1994,9,20-Jun-1994,"1ra Ronda, Grupo B",Brasil,Rusia,2,0,NO,NO,,
1994,10,20-Jun-1994,"1ra Ronda, Grupo F",Paises Bajos,Arabia Saudita,2,1,NO,NO,,
1994,11,21-Jun-1994,"1ra Ronda, Grupo D",Argentina,Grecia,4,0,NO,NO,,
1994,12,21-Jun-1994,"1ra Ronda, Grupo C",Alemania,España,1,1,NO,NO,,
1994,13,21-Jun-1994,"1ra Ronda, Grupo D",Nigeria,Bulgaria,3,0,NO,NO,,
1994,14,22-Jun-1994,"1ra Ronda, Grupo A",Rumania,Suiza,1,4,NO,NO,,
1994,15,22-Jun-1994,"1ra Ronda, Grupo A",Estados Unidos,Colombia,2,1,NO,NO,,
1994,16,23-Jun-1994,"1ra Ronda, Grupo E",Italia,Noruega,1,0,NO,NO,,
1994,17,23-Jun-1994,"1ra Ronda, Grupo C",Corea del Sur,Bolivia,0,0,NO,NO,,
1994,18,24-Jun-1994,"1ra Ronda, Grupo E",México,Irlanda,2,1,NO,NO,,
1994,19,24-Jun-1994,"1ra Ronda, Grupo B",Brasil,Camerún,3,0,NO,NO,,
1994,20,24-Jun-1994,"1ra Ronda, Grupo B",Suecia,Rusia,3,1,NO,NO,,
1994,21,25-Jun-1994,"1ra Ronda, Grupo F",Bélgica,Paises Bajos,1,0,NO,NO,,
1994,22,25-Jun-1994,"1ra Ronda, Grupo F",Arabia Saudita,Marruecos,2,1,NO,NO,,
1994,23,25-Jun-1994,"1ra Ronda, Grupo D",Argentina,Nigeria,2,1,NO,NO,,
1994,24,26-Jun-1994,"1ra Ronda, Grupo D",Bulgaria,Grecia,4,0,NO,NO,,
1994,25,26-Jun-1994,"1ra Ronda, Grupo A",Estados Unidos,Rumania,0,1,NO,NO,,
1994,26,26-Jun-1994,"1ra Ronda, Grupo A",Suiza,Colombia,0,2,NO,NO,,
1994,27,27-Jun-1994,"1ra Ronda, Grupo C",Bolivia,España,1,3,NO,NO,,
1994,28,27-Jun-1994,"1ra Ronda, Grupo C",Alemania,Corea del Sur,3,2,NO,NO,,
1994,29,28-Jun-1994,"1ra Ronda, Grupo E",Irlanda,Noruega,0,0,NO,NO,,
1994,30,28-Jun-1994,"1ra Ronda, Grupo E",Italia,México,1,1,NO,NO,,
1994,31,28-Jun-1994,"1ra Ronda, Grupo B",Rusia,Camerún,6,1,NO,NO,,
1994,32,28-Jun-1994,"1ra Ronda, Grupo B",Brasil,Suecia,1,1,NO,NO,,
1994,33,29-Jun-1994,"1ra Ronda, Grupo F",Marruecos,Paises Bajos,1,2,NO,NO,,
1994,34,29-Jun-1994,"1ra Ronda, Grupo F",Bélgica,Arabia Saudita,0,1,NO,NO,,
1994,35,30-Jun-1994,"1ra Ronda, Grupo D",Grecia,Nigeria,0,2,NO,NO,,
1994,36,30-Jun-1994,"1ra Ronda, Grupo D",Argentina,Bulgaria,0,2,NO,NO,,
1994,37,02-Jul-1994,Octavos,Alemania,Bélgica,3,2,NO,NO,,
1994,38,02-Jul-1994,Octavos,España,Suiza,3,0,NO,NO,,
1994,39,03-Jul-1994,Octavos,Arabia Saudita,Suecia,1,3,NO,NO,,
1994,40,03-Jul-1994,Octavos,Rumania,Argentina,3,2,NO,NO,,
1994,41,04-Jul-1994,Octavos,Paises Bajos,Irlanda,2,0,NO,NO,,
1994,42,04-Jul-1994,Octavos,Brasil,Estados Unidos,1,0,NO,NO,,
1994,43,05-Jul-1994,Octavos,Nigeria,Italia,1,2,SI,NO,,
1994,44,05-Jul-1994,Octavos,México,Bulgaria,1,1,SI,SI,1,3
1994,45,09-Jul-1994,Cuartos,Italia,España,2,1,NO,NO,,
1994,46,09-Jul-1994,Cuartos,Paises Bajos,Brasil,2,3,NO,NO,,
1994,47,10-Jul-1994,Cuartos,Bulgaria,Alemania,2,1,NO,NO,,
1994,48,10-Jul-1994,Cuartos,Rumania,Suecia,2,2,SI,SI,4,5
1994,49,13-Jul-1994,Semis,Bulgaria,Italia,1,2,NO,NO,,
1994,50,13-Jul-1994,Semis,Suecia,Brasil,0,1,NO,NO,,
1994,51,16-Jul-1994,3er Puesto,Suecia,Bulgaria,4,0,NO,NO,,
1994,52,17-Jul-1994,Final,Brasil,Italia,0,0,SI,SI,3,2
