anio_mundial,jugador,seleccion,goles
1938,Leonidas,7,4
1938,Silvio Piola,5,4
1938,Gyorgy Sarosi,5,4
1938,Gyula Zsengeller,5,4
1938,Gino Colaussi,4,3
1938,Ernest Wilimowski,4,1
1938,Andre Abegglen,3,3
1938,Tore Keller,3,2
1938,Arne Nyberg,3,3
1938,Peracio,3,4
1938,Romeu,3,4
1938,Hector Socorro,3,3
1938,Gustav Wetterstrom,3,2
1938,Stefan Dobay,2,2
1938,Oldrich Nejedly,2,2
1938,Jean Nicolas,2,2
1938,Harry Andersson,1,3
1938,Iuliu Baratky,1,2
1938,Fredy Bickel,1,3
1938,Silviu Bindea,1,1
1938,Arne Brustad,1,1
1938,Tomas Fernandez,1,3
1938,Pietro Ferraris,1,1
1938,Josef Gauchel,1,1
1938,Wilhelm Hahnemann,1,2
1938,Oscar Heisserer,1,2
1938,Henri Isemborghs,1,1
1938,Sven Jonasson,1,3
1938,Vilmos Kohut,1,2
1938,Vlastimil Kopecky,1,3
1938,Josef Kostalek,1,3
1938,Jose Magrina,1,2
1938,Giuseppe Meazza,1,4
1938,Roberto,1,2
1938,Ferenc Sas,1,4
1938,Fryedryk Szerfke,1,1
1938,Pal Titkos,1,2
1938,Geza Toldi,1,2
1938,Emile Veinante,1,2
1938,Eugen Walachek,1,3
1938,Josef Zeman,1,1
