anio_mundial,jugador,seleccion,goles
1934,Oldrich Nejedly,5,4
1934,Edmund Conen,4,4
1934,Angelo Schiavio,4,4
1934,Leopold Kielholz,3,2
1934,Raimundo Orsi,3,5
1934,Abdulrahman Fawzi,2,1
1934,Giovanni Ferrari,2,4
1934,Karl Hohmann,2,2
1934,Johann Horvath,2,2
1934,Iraragorri,2,2
1934,Sven Jonasson,2,2
1934,Ernest Lehner,2,4
1934,Giuseppe Meazza,2,5
1934,Antonin Puc,2,4
1934,Frantisek Svoboda,2,3
1934,Geza Toldi,2,2
1934,Bernard Voorhoof,2,1
1934,Andre Abegglen,1,2
1934,Ernesto Belis,1,1
1934,Josef Bican,1,4
1934,Stefan Dobay,1,1
1934,Aldo Donelli,1,1
1934,Gosta Dunker,1,2
1934,Alberto Galateo,1,1
1934,Enrique Guaita,1,4
1934,Willy Jaeggi,1,1
1934,Stanislaus Kobierski,1,3
1934,Knut Kroon,1,2
1934,Isidro Langara,1,2
1934,Leonidas,1,1
1934,Jean Nicolas,1,1
1934,Rudolf Noack,1,1
1934,Luis Regueiro,1,2
1934,Gyorgy Sarosi,1,1
1934,Toni Schall,1,2
1934,Karl Sesta,1,4
1934,Otto Siffling,1,4
1934,Matthias Sindelar,1,3
1934,Kick Smit,1,1
1934,Pal Teleki,1,1
1934,Leen Vente,1,1
1934,Georges Verriest,1,1
1934,Jeno Vincze,1,1
1934,Karl Zischek,1,4
