anio,num_partido,fecha,etapa,local,visitante,goles_local,goles_visitante,tiempo_extra,penales,penales_local,penales_visitante
2002,1,31-May-2002,"1ra Ronda, Grupo A",Francia,Senegal,0,1,NO,NO,,
2002,2,01-Jun-2002,"1ra Ronda, Grupo E",Irlanda,Camerún,1,1,NO,NO,,
2002,3,01-Jun-2002,"1ra Ronda, Grupo A",Uruguay,Dinamarca,1,2,NO,NO,,
2002,4,01-Jun-2002,"1ra Ronda, Grupo E",Alemania,Arabia Saudita,8,0,NO,NO,,
2002,5,02-Jun-2002,"1ra Ronda, Grupo F",Inglaterra,Suecia,1,1,NO,NO,,
2002,6,02-Jun-2002,"1ra Ronda, Grupo B",Paraguay,Sudáfrica,2,2,NO,NO,,
2002,7,02-Jun-2002,"1ra Ronda, Grupo F",Argentina,Nigeria,1,0,NO,NO,,
2002,8,02-Jun-2002,"1ra Ronda, Grupo B",España,Eslovenia,3,1,NO,NO,,
2002,9,03-Jun-2002,"1ra Ronda, Grupo G",Croacia,México,0,1,NO,NO,,
2002,10,03-Jun-2002,"1ra Ronda, Grupo C",Brasil,Turquía,2,1,NO,NO,,
2002,11,03-Jun-2002,"1ra Ronda, Grupo G",Italia,Ecuador,2,0,NO,NO,,
2002,12,04-Jun-2002,"1ra Ronda, Grupo C",China,Costa Rica,0,2,NO,NO,,
2002,13,04-Jun-2002,"1ra Ronda, Grupo H",Japón,Bélgica,2,2,NO,NO,,
2002,14,04-Jun-2002,"1ra Ronda, Grupo D",Corea del Sur,Polonia,2,0,NO,NO,,
2002,15,05-Jun-2002,"1ra Ronda, Grupo H",Rusia,Túnez,2,0,NO,NO,,
2002,16,05-Jun-2002,"1ra Ronda, Grupo D",Estados Unidos,Portugal,3,2,NO,NO,,
2002,17,05-Jun-2002,"1ra Ronda, Grupo E",Alemania,Irlanda,1,1,NO,NO,,
2002,18,06-Jun-2002,"1ra Ronda, Grupo A",Francia,Uruguay,0,0,NO,NO,,
2002,19,06-Jun-2002,"1ra Ronda, Grupo E",Camerún,Arabia Saudita,1,0,NO,NO,,
2002,20,06-Jun-2002,"1ra Ronda, Grupo A",Dinamarca,Senegal,1,1,NO,NO,,
2002,21,07-Jun-2002,"1ra Ronda, Grupo F",Suecia,Nigeria,2,1,NO,NO,,
2002,22,07-Jun-2002,"1ra Ronda, Grupo B",España,Paraguay,3,1,NO,NO,,
2002,23,07-Jun-2002,"1ra Ronda, Grupo F",Argentina,Inglaterra,0,1,NO,NO,,
2002,24,08-Jun-2002,"1ra Ronda, Grupo B",Sudáfrica,Eslovenia,1,0,NO,NO,,
2002,25,08-Jun-2002,"1ra Ronda, Grupo G",Italia,Croacia,1,2,NO,NO,,
2002,26,08-Jun-2002,"1ra Ronda, Grupo C",Brasil,China,4,0,NO,NO,,
2002,27,09-Jun-2002,"1ra Ronda, Grupo G",México,Ecuador,2,1,NO,NO,,
