anio,grupo,selecciones
2018,Grupo A,"Arabia Saudita, Egipto, Rusia, Uruguay"
2018,Grupo B,"España, Irán, Marruecos, Portugal"
2018,Grupo C,"Australia, Dinamarca, Francia, Perú"
2018,Grupo D,"Argentina, Croacia, Islandia, Nigeria"
2018,Grupo E,"Brasil, Costa Rica, Serbia, Suiza"
2018,Grupo F,"Alemania, Corea del Sur, México, Suecia"
2018,Grupo G,"Bélgica, Inglaterra, Panamá, Túnez"
2018,Grupo H,"Colombia, Japón, Polonia, Senegal"
