anio,grupo,pais,pts,pj,pg,pe,pp,gf,gc,diferencia,clasificado
2006,Grupo A,Alemania,9,3,3,0,0,8,2,6,Si
2006,Grupo A,Ecuador,6,3,2,0,1,5,3,2,Si
2006,Grupo A,Polonia,3,3,1,0,2,2,4,-2,No
2006,Grupo A,Costa Rica,0,3,0,0,3,3,9,-6,No
2006,Grupo B,Inglaterra,7,3,2,1,0,5,2,3,Si
2006,Grupo B,Suecia,5,3,1,2,0,3,2,1,Si
2006,Grupo B,Paraguay,3,3,1,0,2,2,2,0,No
2006,Grupo B,Trinidad y Tobago,1,3,0,1,2,0,4,-4,No
2006,Grupo C,Argentina,7,3,2,1,0,8,1,7,Si
2006,Grupo C,Paises Bajos,7,3,2,1,0,3,1,2,Si
2006,Grupo C,Costa de Marfil,3,3,1,0,2,5,6,-1,No
2006,Grupo C,Serbia y Montenegro,0,3,0,0,3,2,10,-8,No
2006,Grupo D,Portugal,9,3,3,0,0,5,1,4,Si
2006,Grupo D,México,4,3,1,1,1,4,3,1,Si
2006,Grupo D,Angola,2,3,0,2,1,1,2,-1,No
2006,Grupo D,Irán,1,3,0,1,2,2,6,-4,No
2006,Grupo E,Italia,7,3,2,1,0,5,1,4,Si
2006,Grupo E,Ghana,6,3,2,0,1,4,3,1,Si
2006,Grupo E,República Checa,3,3,1,0,2,3,4,-1,No
2006,Grupo E,Estados Unidos,1,3,0,1,2,2,6,-4,No
2006,Grupo F,Brasil,9,3,3,0,0,7,1,6,Si
2006,Grupo F,Australia,4,3,1,1,1,5,5,0,Si
2006,Grupo F,Croacia,2,3,0,2,1,2,3,-1,No
2006,Grupo F,Japón,1,3,0,1,2,2,7,-5,No
2006,Grupo G,Suiza,7,3,2,1,0,4,0,4,Si
2006,Grupo G,Francia,5,3,1,2,0,3,1,2,Si
2006,Grupo G,Corea del Sur,4,3,1,1,1,3,4,-1,No
2006,Grupo G,Togo,0,3,0,0,3,1,6,-5,No
2006,Grupo H,España,9,3,3,0,0,8,1,7,Si
2006,Grupo H,Ucrania,6,3,2,0,1,5,4,1,Si
2006,Grupo H,Túnez,1,3,0,1,2,3,6,-3,No
2006,Grupo H,Arabia Saudita,1,3,0,1,2,2,7,-5,No
