anio,num_partido,fecha,etapa,local,visitante,goles_local,goles_visitante,tiempo_extra,penales,penales_local,penales_visitante
2006,1,09-Jun-2006,"1ra Ronda, Grupo A",Alemania,Costa Rica,4,2,NO,NO,,
2006,2,09-Jun-2006,"1ra Ronda, Grupo A",Polonia,Ecuador,0,2,NO,NO,,
2006,3,10-Jun-2006,"1ra Ronda, Grupo B",Inglaterra,Paraguay,1,0,NO,NO,,
2006,4,10-Jun-2006,"1ra Ronda, Grupo B",Trinidad y Tobago,Suecia,0,0,NO,NO,,
2006,5,10-Jun-2006,"1ra Ronda, Grupo C",Argentina,Costa de Marfil,2,1,NO,NO,,
2006,6,11-Jun-2006,"1ra Ronda, Grupo C",Serbia y Montenegro,Paises Bajos,0,1,NO,NO,,
2006,7,11-Jun-2006,"1ra Ronda, Grupo D",México,Irán,3,1,NO,NO,,
2006,8,11-Jun-2006,"1ra Ronda, Grupo D",Angola,Portugal,0,1,NO,NO,,
2006,9,12-Jun-2006,"1ra Ronda, Grupo E",Italia,Ghana,2,0,NO,NO,,
2006,10,12-Jun-2006,"1ra Ronda, Grupo E",Estados Unidos,República Checa,0,3,NO,NO,,
2006,11,12-Jun-2006,"1ra Ronda, Grupo F",Australia,Japón,3,1,NO,NO,,
2006,12,13-Jun-2006,"1ra Ronda, Grupo F",Brasil,Croacia,1,0,NO,NO,,
2006,13,13-Jun-2006,"1ra Ronda, Grupo G",Francia,Suiza,0,0,NO,NO,,
2006,14,13-Jun-2006,"1ra Ronda, Grupo G",Corea del Sur,Togo,2,1,NO,NO,,
2006,15,14-Jun-2006,"1ra Ronda, Grupo H",España,Ucrania,4,0,NO,NO,,
2006,16,14-Jun-2006,"1ra Ronda, Grupo H",Túnez,Arabia Saudita,2,2,NO,NO,,
2006,17,14-Jun-2006,"1ra Ronda, Grupo A",Alemania,Polonia,1,0,NO,NO,,
2006,18,15-Jun-2006,"1ra Ronda, Grupo A",Ecuador,Costa Rica,3,0,NO,NO,,
2006,19,15-Jun-2006,"1ra Ronda, Grupo B",Inglaterra,Trinidad y Tobago,2,0,NO,NO,,
2006,20,15-Jun-2006,"1ra Ronda, Grupo B",Suecia,Paraguay,1,0,NO,NO,,
2006,21,16-Jun-2006,"1ra Ronda, Grupo C",Argentina,Serbia y Montenegro,6,0,NO,NO,,
2006,22,16-Jun-2006,"1ra Ronda, Grupo C",Paises Bajos,Costa de Marfil,2,1,NO,NO,,
2006,23,16-Jun-2006,"1ra Ronda, Grupo D",México,Angola,0,0,NO,NO,,
2006,24,17-Jun-2006,"1ra Ronda, Grupo D",Portugal,Irán,2,0,NO,NO,,
2006,25,17-Jun-2006,"1ra Ronda, Grupo E",Italia,Estados Unidos,1,1,NO,NO,,
2006,26,17-Jun-2006,"1ra Ronda, Grupo E",República Checa,Ghana,0,2,NO,NO,,
2006,27,18-Jun-2006,"1ra Ronda, Grupo F",Brasil,Australia,2,0,NO,NO,,
2006,28,18-Jun-2006,"1ra Ronda, Grupo F",Japón,Croacia,0,0,NO,NO,,
2006,29,18-Jun-2006,"1ra Ronda, Grupo G",Francia,Corea del Sur,1,1,NO,NO,,
2006,30,19-Jun-2006,"1ra Ronda, Grupo G",Togo,Suiza,0,2,NO,NO,,
2006,31,19-Jun-2006,"1ra Ronda, Grupo H",España,Túnez,3,1,NO,NO,,
2006,32,19-Jun-2006,"1ra Ronda, Grupo H",Arabia Saudita,Ucrania,0,4,NO,NO,,
2006,33,20-Jun-2006,"1ra Ronda, Grupo A",Ecuador,Alemania,0,3,NO,NO,,
2006,34,20-Jun-2006,"1ra Ronda, Grupo A",Costa Rica,Polonia,1,2,NO,NO,,
2006,35,20-Jun-2006,"1ra Ronda, Grupo B",Suecia,Inglaterra,2,2,NO,NO,,
2006,36,20-Jun-2006,"1ra Ronda, Grupo B",Paraguay,Trinidad y Tobago,2,0,NO,NO,,
2006,37,21-Jun-2006,"1ra Ronda, Grupo C",Paises Bajos,Argentina,0,0,NO,NO,,
2006,38,21-Jun-2006,"1ra Ronda, Grupo C",Costa de Marfil,Serbia y Montenegro,3,2,NO,NO,,
2006,39,21-Jun-2006,"1ra Ronda, Grupo D",Portugal,México,2,1,NO,NO,,
2006,40,21-Jun-2006,"1ra Ronda, Grupo D",Irán,Angola,1,1,NO,NO,,
2006,41,22-Jun-2006,"1ra Ronda, Grupo E",República Checa,Italia,0,2,NO,NO,,
2006,42,22-Jun-2006,"1ra Ronda, Grupo E",Ghana,Estados Unidos,2,1,NO,NO,,
2006,43,22-Jun-2006,"1ra Ronda, Grupo F",Japón,Brasil,1,4,NO,NO,,
2006,44,22-Jun-2006,"1ra Ronda, Grupo F",Croacia,Australia,2,2,NO,NO,,
2006,45,23-Jun-2006,"1ra Ronda, Grupo G",Togo,Francia,0,2,NO,NO,,
2006,46,23-Jun-2006,"1ra Ronda, Grupo G",Suiza,Corea del Sur,2,0,NO,NO,,
2006,47,23-Jun-2006,"1ra Ronda, Grupo H",Arabia Saudita,España,0,1,NO,NO,,
2006,48,23-Jun-2006,"1ra Ronda, Grupo H",Ucrania,Túnez,1,0,NO,NO,,
2006,49,24-Jun-2006,Octavos,Alemania,Suecia,2,0,NO,NO,,
2006,50,24-Jun-2006,Octavos,Argentina,México,2,1,SI,NO,,
2006,51,25-Jun-2006,Octavos,Inglaterra,Ecuador,1,0,NO,NO,,
2006,52,25-Jun-2006,Octavos,Portugal,Paises Bajos,1,0,NO,NO,,
2006,53,26-Jun-2006,Octavos,Italia,Australia,1,0,NO,NO,,
2006,54,26-Jun-2006,Octavos,Suiza,Ucrania,0,0,SI,SI,0,3
2006,55,27-Jun-2006,Octavos,Brasil,Ghana,3,0,NO,NO,,
2006,56,27-Jun-2006,Octavos,España,Francia,1,3,NO,NO,,
2006,57,30-Jun-2006,Cuartos,Alemania,Argentina,1,1,SI,SI,4,2
2006,58,30-Jun-2006,Cuartos,Italia,Ucrania,3,0,NO,NO,,
2006,59,01-Jul-2006,Cuartos,Inglaterra,Portugal,0,0,SI,SI,1,3
2006,60,01-Jul-2006,Cuartos,Brasil,Francia,0,1,NO,NO,,
2006,61,04-Jul-2006,Semis,Alemania,Italia,0,2,SI,NO,,
2006,62,05-Jul-2006,Semis,Portugal,Francia,0,1,NO,NO,,
2006,63,08-Jul-2006,3er Puesto,Alemania,Portugal,3,1,NO,NO,,
2006,64,09-Jul-2006,Final,Italia,Francia,1,1,SI,SI,5,3
