id_premio;anio;tipo_premio;jugador;id_seleccion;pais
1;2022;Balón de Oro;Lionel Messi;6;Argentina
2;2022;Balón de Plata;Kylian Mbappé;36;Francia
3;2022;Balón de Bronce;Luka Modric;24;Croacia
4;2022;Botín de Oro;Kylian Mbappé;36;Francia
5;2022;Botín de Plata;Lionel Messi;6;Argentina
6;2022;Botín de Bronce;Olivier Giroud;36;Francia
7;2022;Guante de Oro;Emiliano Martinez;6;Argentina
8;2022;Mejor Jugador Joven;Enzo Fernandez;6;Argentina
9;2022;FIFA Fair Play;Inglaterra;44;Inglaterra
