id_tarjeta;anio;id_seleccion;pais;jugador;amarillas;rojas
122;2022;78;Túnez;Taha Yassine Khenissi;1;2
123;2022;21;Corea del Sur;Young-Gwon Kim;1;4
124;2022;1;Alemania;Joshua Kimmich;1;3
125;2022;64;Polonia;Jakub Kiwior;1;4
126;2022;60;Paises Bajos;Teun Koopmeiners;1;5
127;2022;70;Senegal;Kalidou Koulibaly;1;4
128;2022;36;Francia;Jules Koundé;1;6
129;2022;26;Dinamarca;Rasmus Kristensen;1;3
130;2022;64;Polonia;Grzegorz Krychowiak;1;4
131;2022;38;Ghana;Mohammed Kudus;1;3
132;2022;14;Camerún;Pierre Kunde;1;2
133;2022;78;Túnez;Aissa Laidouni;1;3
134;2022;38;Ghana;Tariq Lamptey;1;2
135;2022;60;Paises Bajos;Noa Lang;1;1
136;2022;34;España;Aymeric Laporte;1;3
137;2022;21;Corea del Sur;Kang-in Lee;1;4
138;2022;24;Croacia;Dominik Livaković;1;7
139;2022;24;Croacia;Dejan Lovren;1;6
140;2022;16;Catar;Assim Madibo;1;2
141;2022;4;Arabia Saudita;Abdullah Madu;1;1
142;2022;44;Inglaterra;Harry Maguire;1;5
143;2022;11;Brasil;Marquinhos;1;5
144;2022;6;Argentina;Lisandro Martinez;1;5
145;2022;35;Estados Unidos;Weston McKennie;1;4
146;2022;70;Senegal;Nampalys Mendy;1;4
147;2022;37;Gales;Chris Mepham;1;3
148;2022;6;Argentina;Lionel Messi;1;7
149;2022;13;Bélgica;Thomas Meunier;1;3
150;2022;64;Polonia;Arkadiusz Milik;1;3
151;2022;71;Serbia;Sergej Milinković-Savić;1;3
152;2022;11;Brasil;Eder Militao;1;4
153;2022;15;Canadá;Kamal Miller;1;3
154;2022;71;Serbia;Aleksandar Mitrović;1;3
155;2022;24;Croacia;Luka Modric;1;7
156;2022;16;Catar;Ismaeel Mohammad;1;2
157;2022;7;Australia;Aaron Mooy;1;4
158;2022;56;México;Hector Moreno;1;3
159;2022;65;Portugal;Rúben Neves;1;5
160;2022;14;Camerún;Nicolas Nkoulou;1;2
161;2022;80;Uruguay;Darwin Núñez;1;3
162;2022;80;Uruguay;Mathías Olivera;1;3
163;2022;15;Canadá;Jonathan Osorio;1;3
164;2022;55;Marruecos;Azzedine Ounahi;1;7
165;2022;65;Portugal;Danilo Pereira;1;1
166;2022;24;Croacia;Bruno Petkovic;1;6
167;2022;6;Argentina;German Pezzella;1;3
168;2022;48;Irán;Morteza Pouraliganji;1;3
169;2022;36;Francia;Adrien Rabiot;1;6
170;2022;71;Serbia;Predrag Rajković;1;0
171;2022;37;Gales;Aaron Ramsey;1;3
172;2022;35;Estados Unidos;Tim Ream;1;4
173;2022;48;Irán;Ramin Rezaeian;1;2
174;2022;74;Suiza;Fabian Rieder;1;2
175;2022;37;Gales;Joe Rodon;1;3
176;2022;55;Marruecos;Abdelhamid Sabiri;1;5
177;2022;55;Marruecos;Romain Saïss;1;6
178;2022;56;México;Jorge Sánchez;1;2
179;2022;78;Túnez;Ferjani Sassi;1;2
180;2022;26;Dinamarca;Robert Skov;1;1
