id_posicion_grupo,anio,id_grupo,id_seleccion,seleccion,pts,pj,pg,pe,pp,gf,gc,diferencia,clasificado
363,2010,A,80,Uruguay,7,3,2,1,0,4,0,4,SI
364,2010,A,56,México,4,3,1,1,1,3,2,1,SI
365,2010,A,72,Sudáfrica,4,3,1,1,1,3,5,-2,NO
366,2010,A,36,Francia,1,3,0,1,2,1,4,-3,NO
367,2010,B,6,Argentina,9,3,3,0,0,7,1,6,SI
368,2010,B,21,Corea del Sur,4,3,1,1,1,5,6,-1,SI
369,2010,B,39,Grecia,3,3,1,0,2,2,5,-3,NO
370,2010,B,57,Nigeria,1,3,0,1,2,3,5,-2,NO
371,2010,C,35,Estados Unidos,5,3,1,2,0,4,3,1,SI
372,2010,C,44,Inglaterra,5,3,1,2,0,2,1,1,SI
373,2010,C,33,Eslovenia,4,3,1,1,1,3,3,0,NO
374,2010,C,5,Argelia,1,3,0,1,2,0,2,-2,NO
375,2010,D,1,Alemania,6,3,2,0,1,5,1,4,SI
376,2010,D,38,Ghana,4,3,1,1,1,2,2,0,SI
377,2010,D,7,Australia,4,3,1,1,1,3,6,-3,NO
378,2010,D,71,Serbia,3,3,1,0,2,2,3,-1,NO
379,2010,E,60,Paises Bajos,9,3,3,0,0,5,1,4,SI
380,2010,E,53,Japón,6,3,2,0,1,4,2,2,SI
381,2010,E,26,Dinamarca,3,3,1,0,2,3,6,-3,NO
382,2010,E,14,Camerún,0,3,0,0,3,2,5,-3,NO
383,2010,F,62,Paraguay,5,3,1,2,0,3,1,2,SI
384,2010,F,32,Eslovaquia,4,3,1,1,1,4,5,-1,SI
385,2010,F,59,Nueva Zelanda,3,3,0,3,0,2,2,0,NO
386,2010,F,51,Italia,2,3,0,2,1,4,5,-1,NO
387,2010,G,11,Brasil,7,3,2,1,0,5,2,3,SI
388,2010,G,65,Portugal,5,3,1,2,0,7,0,7,SI
389,2010,G,23,Costa de Marfil,4,3,1,1,1,4,3,1,NO
390,2010,G,20,Corea del Norte,0,3,0,0,3,1,12,-11,NO
391,2010,H,34,España,6,3,2,0,1,4,2,2,SI
392,2010,H,17,Chile,6,3,2,0,1,3,2,1,SI
393,2010,H,74,Suiza,4,3,1,1,1,1,1,0,NO
394,2010,H,41,Honduras,1,3,0,1,2,0,3,-3,NO
395,2014,A,11,Brasil,7,3,2,1,0,7,2,5,SI
396,2014,A,56,México,7,3,2,1,0,4,1,3,SI
397,2014,A,24,Croacia,3,3,1,0,2,6,6,0,NO
398,2014,A,14,Camerún,0,3,0,0,3,1,9,-8,NO
399,2014,B,60,Paises Bajos,9,3,3,0,0,10,3,7,SI
400,2014,B,17,Chile,6,3,2,0,1,5,3,2,SI
401,2014,B,34,España,3,3,1,0,2,4,7,-3,NO
402,2014,B,7,Australia,0,3,0,0,3,3,9,-6,NO
