anio,grupo,selecciones
1982,Grupo A,"Camerún, Italia, Perú, Polonia"
1982,Grupo B,"Alemania Occidental, Argelia, Austria, Chile"
1982,Grupo C,"Argentina, Bélgica, El Salvador, Hungría"
1982,Grupo D,"Checoslovaquia, Francia, Inglaterra, Kuwait"
1982,Grupo E,"España, Honduras, Irlanda del Norte, Yugoslavia"
1982,Grupo F,"Brasil, Escocia, Nueva Zelanda, URSS"
