anio,grupo,num_partido,fecha,local,visitante,equipo,minuto,jugador,es_penal
1982,Grupo A,3,18-Jun-1982,Italia,Perú,Perú,83,Ruben Diaz,NO
1982,Grupo A,5,22-Jun-1982,Polonia,Perú,Perú,83,Guillermo La Rosa,NO
1982,Grupo A,6,23-Jun-1982,Italia,Camerún,Camerún,61,Gregoire Mbida,NO
1982,Grupo B,1,16-Jun-1982,Alemania Occidental,Argelia,Argelia,54,Rabah Madjer,NO
1982,Grupo B,1,16-Jun-1982,Alemania Occidental,Argelia,Argelia,68,Lakhdar Belloumi,NO
1982,Grupo B,2,17-Jun-1982,Chile,Austria,Austria,22,Walter Schachner,NO
1982,Grupo B,3,20-Jun-1982,Alemania Occidental,Chile,Chile,90,Gustavo Moscoso,NO
1982,Grupo B,4,21-Jun-1982,Argelia,Austria,Austria,55,Walter Schachner,NO
1982,Grupo B,4,21-Jun-1982,Argelia,Austria,Austria,67,Hans Krankl,NO
1982,Grupo B,5,24-Jun-1982,Argelia,Chile,Chile,59,Miguel Neira,SI
1982,Grupo B,5,24-Jun-1982,Argelia,Chile,Chile,73,Juan Letelier,NO
1982,Grupo C,1,13-Jun-1982,Argentina,Bélgica,Bélgica,62,Erwin Vandenbergh,NO
1982,Grupo C,2,15-Jun-1982,Hungría,El Salvador,El Salvador,64,Luis Ramirez,NO
1982,Grupo C,3,18-Jun-1982,Argentina,Hungría,Hungría,76,Gabor Poloskei,NO
1982,Grupo C,5,22-Jun-1982,Bélgica,Hungría,Hungría,27,Jozsef Varga,NO
1982,Grupo D,1,16-Jun-1982,Inglaterra,Francia,Francia,24,Gerard Soler,NO
1982,Grupo D,2,17-Jun-1982,Checoslovaquia,Kuwait,Kuwait,57,Faisal Al Dakhil,NO
1982,Grupo D,4,21-Jun-1982,Francia,Kuwait,Kuwait,75,Abdulaziz Al Balushi,NO
1982,Grupo D,5,24-Jun-1982,Francia,Checoslovaquia,Checoslovaquia,84,Antonin Panenka,SI
1982,Grupo E,1,16-Jun-1982,España,Honduras,Honduras,7,Hector Zelaya,NO
1982,Grupo E,3,20-Jun-1982,España,Yugoslavia,Yugoslavia,10,Ivan Gudelj,NO
1982,Grupo E,4,21-Jun-1982,Honduras,Irlanda del Norte,Irlanda del Norte,9,Gerry Armstrong,NO
1982,Grupo E,5,24-Jun-1982,Honduras,Yugoslavia,Yugoslavia,88,Vladimir Petrovic,SI
1982,Grupo F,1,14-Jun-1982,Brasil,URSS,URSS,34,Andrei Bal,NO
1982,Grupo F,2,15-Jun-1982,Escocia,Nueva Zelanda,Nueva Zelanda,54,Steve Sumner,NO
1982,Grupo F,2,15-Jun-1982,Escocia,Nueva Zelanda,Nueva Zelanda,64,Steve Wooddin,NO
1982,Grupo F,3,18-Jun-1982,Brasil,Escocia,Escocia,18,David Narey,NO
1982,Grupo F,5,22-Jun-1982,URSS,Escocia,Escocia,15,Joe Jordan,NO
1982,Grupo F,5,22-Jun-1982,URSS,Escocia,Escocia,86,Graeme Souness,NO
