anio,num_partido,fecha,etapa,local,visitante,goles_local,goles_visitante,tiempo_extra,penales,penales_local,penales_visitante
1982,1,13-Jun-1982,"1ra Ronda, Grupo C",Argentina,Bélgica,0,1,NO,NO,,
1982,2,14-Jun-1982,"1ra Ronda, Grupo F",Brasil,URSS,2,1,NO,NO,,
1982,3,14-Jun-1982,"1ra Ronda, Grupo A",Italia,Polonia,0,0,NO,NO,,
1982,4,15-Jun-1982,"1ra Ronda, Grupo A",Perú,Camerún,0,0,NO,NO,,
1982,5,15-Jun-1982,"1ra Ronda, Grupo F",Escocia,Nueva Zelanda,5,2,NO,NO,,
1982,6,15-Jun-1982,"1ra Ronda, Grupo C",Hungría,El Salvador,10,1,NO,NO,,
1982,7,16-Jun-1982,"1ra Ronda, Grupo B",Alemania Occidental,Argelia,1,2,NO,NO,,
1982,8,16-Jun-1982,"1ra Ronda, Grupo E",España,Honduras,1,1,NO,NO,,
1982,9,16-Jun-1982,"1ra Ronda, Grupo D",Inglaterra,Francia,3,1,NO,NO,,
1982,10,17-Jun-1982,"1ra Ronda, Grupo D",Checoslovaquia,Kuwait,1,1,NO,NO,,
1982,11,17-Jun-1982,"1ra Ronda, Grupo E",Yugoslavia,Irlanda del Norte,0,0,NO,NO,,
1982,12,17-Jun-1982,"1ra Ronda, Grupo B",Chile,Austria,0,1,NO,NO,,
1982,13,18-Jun-1982,"1ra Ronda, Grupo C",Argentina,Hungría,4,1,NO,NO,,
1982,14,18-Jun-1982,"1ra Ronda, Grupo A",Italia,Perú,1,1,NO,NO,,
1982,15,18-Jun-1982,"1ra Ronda, Grupo F",Brasil,Escocia,4,1,NO,NO,,
1982,16,19-Jun-1982,"1ra Ronda, Grupo A",Polonia,Camerún,0,0,NO,NO,,
1982,17,19-Jun-1982,"1ra Ronda, Grupo C",Bélgica,El Salvador,1,0,NO,NO,,
1982,18,19-Jun-1982,"1ra Ronda, Grupo F",URSS,Nueva Zelanda,3,0,NO,NO,,
1982,19,20-Jun-1982,"1ra Ronda, Grupo E",España,Yugoslavia,2,1,NO,NO,,
1982,20,20-Jun-1982,"1ra Ronda, Grupo D",Inglaterra,Checoslovaquia,2,0,NO,NO,,
1982,21,20-Jun-1982,"1ra Ronda, Grupo B",Alemania Occidental,Chile,4,1,NO,NO,,
1982,22,21-Jun-1982,"1ra Ronda, Grupo E",Honduras,Irlanda del Norte,1,1,NO,NO,,
1982,23,21-Jun-1982,"1ra Ronda, Grupo D",Francia,Kuwait,4,1,NO,NO,,
1982,24,21-Jun-1982,"1ra Ronda, Grupo B",Argelia,Austria,0,2,NO,NO,,
1982,25,22-Jun-1982,"1ra Ronda, Grupo F",URSS,Escocia,2,2,NO,NO,,
1982,26,22-Jun-1982,"1ra Ronda, Grupo C",Bélgica,Hungría,1,1,NO,NO,,
1982,27,22-Jun-1982,"1ra Ronda, Grupo A",Polonia,Perú,5,1,NO,NO,,
1982,28,23-Jun-1982,"1ra Ronda, Grupo A",Italia,Camerún,1,1,NO,NO,,
1982,29,23-Jun-1982,"1ra Ronda, Grupo C",Argentina,El Salvador,2,0,NO,NO,,
1982,30,23-Jun-1982,"1ra Ronda, Grupo F",Brasil,Nueva Zelanda,4,0,NO,NO,,
1982,31,24-Jun-1982,"1ra Ronda, Grupo E",Honduras,Yugoslavia,0,1,NO,NO,,
1982,32,24-Jun-1982,"1ra Ronda, Grupo D",Francia,Checoslovaquia,1,1,NO,NO,,
1982,33,24-Jun-1982,"1ra Ronda, Grupo B",Argelia,Chile,3,2,NO,NO,,
1982,34,25-Jun-1982,"1ra Ronda, Grupo E",Irlanda del Norte,España,1,0,NO,NO,,
1982,35,25-Jun-1982,"1ra Ronda, Grupo B",Alemania Occidental,Austria,1,0,NO,NO,,
1982,36,25-Jun-1982,"1ra Ronda, Grupo D",Inglaterra,Kuwait,1,0,NO,NO,,
1982,37,28-Jun-1982,"2da Ronda, Grupo 4",Austria,Francia,0,1,NO,NO,,
1982,38,28-Jun-1982,"2da Ronda, Grupo 1",Polonia,Bélgica,3,0,NO,NO,,
1982,39,29-Jun-1982,"2da Ronda, Grupo 2",Alemania Occidental,Inglaterra,0,0,NO,NO,,
1982,40,29-Jun-1982,"2da Ronda, Grupo 3",Italia,Argentina,2,1,NO,NO,,
1982,41,01-Jul-1982,"2da Ronda, Grupo 1",Bélgica,URSS,0,1,NO,NO,,
1982,42,01-Jul-1982,"2da Ronda, Grupo 4",Austria,Irlanda del Norte,2,2,NO,NO,,
1982,43,02-Jul-1982,"2da Ronda, Grupo 3",Argentina,Brasil,1,3,NO,NO,,
1982,44,02-Jul-1982,"2da Ronda, Grupo 2",Alemania Occidental,España,2,1,NO,NO,,
1982,45,04-Jul-1982,"2da Ronda, Grupo 4",Francia,Irlanda del Norte,4,1,NO,NO,,
1982,46,04-Jul-1982,"2da Ronda, Grupo 1",Polonia,URSS,0,0,NO,NO,,
1982,47,05-Jul-1982,"2da Ronda, Grupo 3",Italia,Brasil,3,2,NO,NO,,
1982,48,05-Jul-1982,"2da Ronda, Grupo 2",España,Inglaterra,0,0,NO,NO,,
1982,49,08-Jul-1982,Semis,Alemania Occidental,Francia,3,3,SI,SI,5,4
1982,50,08-Jul-1982,Semis,Polonia,Italia,0,2,NO,NO,,
1982,51,10-Jul-1982,3er Puesto,Polonia,Francia,3,2,NO,NO,,
1982,52,11-Jul-1982,Final,Italia,Alemania Occidental,3,1,NO,NO,,
