anio,grupo,pais,pts,pj,pg,pe,pp,gf,gc,diferencia,clasificado
1982,Grupo A,Polonia,4,3,1,2,0,5,1,4,Si
1982,Grupo A,Italia,3,3,0,3,0,2,2,0,Si
1982,Grupo A,Camerún,3,3,0,3,0,1,1,0,No
1982,Grupo A,Perú,2,3,0,2,1,2,6,-4,No
1982,Grupo B,Alemania Occidental,4,3,2,0,1,6,3,3,Si
1982,Grupo B,Austria,4,3,2,0,1,3,1,2,Si
1982,Grupo B,Argelia,4,3,2,0,1,5,5,0,No
1982,Grupo B,Chile,0,3,0,0,3,3,8,-5,No
1982,Grupo C,Bélgica,5,3,2,1,0,3,1,2,Si
1982,Grupo C,Argentina,4,3,2,0,1,6,2,4,Si
1982,Grupo C,Hungría,3,3,1,1,1,12,6,6,No
1982,Grupo C,El Salvador,0,3,0,0,3,1,13,-12,No
1982,Grupo D,Inglaterra,6,3,3,0,0,6,1,5,Si
1982,Grupo D,Francia,3,3,1,1,1,6,5,1,Si
1982,Grupo D,Checoslovaquia,2,3,0,2,1,2,4,-2,No
1982,Grupo D,Kuwait,1,3,0,1,2,2,6,-4,No
1982,Grupo E,Irlanda del Norte,4,3,1,2,0,2,1,1,Si
1982,Grupo E,España,3,3,1,1,1,3,3,0,Si
1982,Grupo E,Yugoslavia,3,3,1,1,1,2,2,0,No
1982,Grupo E,Honduras,2,3,0,2,1,2,3,-1,No
1982,Grupo F,Brasil,6,3,3,0,0,10,2,8,Si
1982,Grupo F,URSS,3,3,1,1,1,6,4,2,Si
1982,Grupo F,Escocia,3,3,1,1,1,8,8,0,No
1982,Grupo F,Nueva Zelanda,0,3,0,0,3,2,12,-10,No
