anio,num_partido,fecha,etapa,local,visitante,goles_local,goles_visitante,tiempo_extra,penales,penales_local,penales_visitante
2022,1,20-Nov-2022,"1ra Ronda, Grupo A",Catar,Ecuador,0,2,NO,NO,,
2022,2,21-Nov-2022,"1ra Ronda, Grupo B",Inglaterra,Irán,6,2,NO,NO,,
2022,3,21-Nov-2022,"1ra Ronda, Grupo A",Senegal,Paises Bajos,0,2,NO,NO,,
2022,4,21-Nov-2022,"1ra Ronda, Grupo B",Estados Unidos,Gales,1,1,NO,NO,,
2022,5,22-Nov-2022,"1ra Ronda, Grupo C",Argentina,Arabia Saudita,1,2,NO,NO,,
2022,6,22-Nov-2022,"1ra Ronda, Grupo D",Dinamarca,Túnez,0,0,NO,NO,,
2022,7,22-Nov-2022,"1ra Ronda, Grupo C",México,Polonia,0,0,NO,NO,,
2022,8,22-Nov-2022,"1ra Ronda, Grupo D",Francia,Australia,4,1,NO,NO,,
2022,9,23-Nov-2022,"1ra Ronda, Grupo F",Marruecos,Croacia,0,0,NO,NO,,
2022,10,23-Nov-2022,"1ra Ronda, Grupo E",Alemania,Japón,1,2,NO,NO,,
2022,11,23-Nov-2022,"1ra Ronda, Grupo E",España,Costa Rica,7,0,NO,NO,,
2022,12,23-Nov-2022,"1ra Ronda, Grupo F",Bélgica,Canadá,1,0,NO,NO,,
2022,13,24-Nov-2022,"1ra Ronda, Grupo G",Suiza,Camerún,1,0,NO,NO,,
2022,14,24-Nov-2022,"1ra Ronda, Grupo H",Uruguay,Corea del Sur,0,0,NO,NO,,
2022,15,24-Nov-2022,"1ra Ronda, Grupo H",Portugal,Ghana,3,2,NO,NO,,
2022,16,24-Nov-2022,"1ra Ronda, Grupo G",Brasil,Serbia,2,0,NO,NO,,
2022,17,25-Nov-2022,"1ra Ronda, Grupo B",Gales,Irán,0,2,NO,NO,,
2022,18,25-Nov-2022,"1ra Ronda, Grupo A",Catar,Senegal,1,3,NO,NO,,
2022,19,25-Nov-2022,"1ra Ronda, Grupo A",Paises Bajos,Ecuador,1,1,NO,NO,,
2022,20,25-Nov-2022,"1ra Ronda, Grupo B",Inglaterra,Estados Unidos,0,0,NO,NO,,
2022,21,26-Nov-2022,"1ra Ronda, Grupo D",Túnez,Australia,0,1,NO,NO,,
2022,22,26-Nov-2022,"1ra Ronda, Grupo C",Polonia,Arabia Saudita,2,0,NO,NO,,
2022,23,26-Nov-2022,"1ra Ronda, Grupo D",Francia,Dinamarca,2,1,NO,NO,,
2022,24,26-Nov-2022,"1ra Ronda, Grupo C",Argentina,México,2,0,NO,NO,,
2022,25,27-Nov-2022,"1ra Ronda, Grupo E",Japón,Costa Rica,0,1,NO,NO,,
2022,26,27-Nov-2022,"1ra Ronda, Grupo F",Bélgica,Marruecos,0,2,NO,NO,,
2022,27,27-Nov-2022,"1ra Ronda, Grupo F",Croacia,Canadá,4,1,NO,NO,,
2022,28,27-Nov-2022,"1ra Ronda, Grupo E",España,Alemania,1,1,NO,NO,,
2022,29,28-Nov-2022,"1ra Ronda, Grupo G",Camerún,Serbia,3,3,NO,NO,,
