anio,grupo,selecciones
1998,Grupo A,"Brasil, Escocia, Marruecos, Noruega"
1998,Grupo B,"Austria, Camerún, Chile, Italia"
1998,Grupo C,"Arabia Saudita, Dinamarca, Francia, Sudáfrica"
1998,Grupo D,"Bulgaria, España, Nigeria, Paraguay"
1998,Grupo E,"Bélgica, Corea del Sur, México, Paises Bajos"
1998,Grupo F,"Alemania, Estados Unidos, Irán, RF de Yugoslavia"
1998,Grupo G,"Colombia, Inglaterra, Rumania, Túnez"
1998,Grupo H,"Argentina, Croacia, Jamaica, Japón"
