id_partido,anio,num_partido,fecha,etapa,id_local,local,id_visitante,visitante,goles_local,goles_visitante,tiempo_extra,penales,penales_local,penales_visitante
48,2018,48,28-Jun-2018,"1ra Ronda, Grupo H",70,Senegal,19,Colombia,0,1,NO,NO,,
49,2018,49,30-Jun-2018,Octavos,80,Uruguay,65,Portugal,2,1,NO,NO,,
50,2018,50,30-Jun-2018,Octavos,36,Francia,6,Argentina,4,3,NO,NO,,
51,2018,51,01-Jul-2018,Octavos,34,España,69,Rusia,1,1,SI,SI,3,4
52,2018,52,01-Jul-2018,Octavos,24,Croacia,26,Dinamarca,1,1,SI,SI,3,2
53,2018,53,02-Jul-2018,Octavos,11,Brasil,56,México,2,0,NO,NO,,
54,2018,54,02-Jul-2018,Octavos,13,Bélgica,53,Japón,3,2,NO,NO,,
55,2018,55,03-Jul-2018,Octavos,73,Suecia,74,Suiza,1,0,NO,NO,,
56,2018,56,03-Jul-2018,Octavos,19,Colombia,44,Inglaterra,1,1,SI,SI,3,4
57,2018,57,06-Jul-2018,Cuartos,80,Uruguay,36,Francia,0,2,NO,NO,,
58,2018,58,06-Jul-2018,Cuartos,11,Brasil,13,Bélgica,1,2,NO,NO,,
59,2018,59,07-Jul-2018,Cuartos,69,Rusia,24,Croacia,2,2,SI,SI,3,4
60,2018,60,07-Jul-2018,Cuartos,73,Suecia,44,Inglaterra,0,2,NO,NO,,
61,2018,61,10-Jul-2018,Semis,36,Francia,13,Bélgica,1,0,NO,NO,,
62,2018,62,11-Jul-2018,Semis,24,Croacia,44,Inglaterra,2,1,SI,NO,,
63,2018,63,14-Jul-2018,3er Puesto,13,Bélgica,44,Inglaterra,2,0,NO,NO,,
64,2018,64,15-Jul-2018,Final,36,Francia,24,Croacia,4,2,NO,NO,,
