id_seleccion,nombre
1,Alemania
2,Arabia Saudita
3,Argentina
4,Australia
5,Brasil
6,Bélgica
7,Colombia
8,Corea del Sur
9,Costa Rica
10,Croacia
11,Dinamarca
12,Egipto
13,España
14,Francia
15,Inglaterra
16,Irán
17,Islandia
18,Japón
19,Marruecos
20,México
21,Nigeria
22,Panamá
23,Perú
24,Polonia
25,Portugal
26,Rusia
27,Senegal
28,Serbia
29,Suecia
30,Suiza
31,Túnez
32,Uruguay
