id_premio,anio,tipo_premio,jugador,id_seleccion,pais
1,2018,Balón de Oro,Luka Modric,24,Croacia
2,2018,Balón de Plata,Eden Hazard,13,Bélgica
3,2018,Balón de Bronce,Antoine Griezmann,36,Francia
4,2018,Botín de Oro,Harry Kane,44,Inglaterra
5,2018,Botín de Plata,Antoine Griezmann,36,Francia
6,2018,Botín de Bronce,Romelu Lukaku,13,Bélgica
7,2018,Guante de Oro,Thibaut Courtois,13,Bélgica
8,2018,Mejor Jugador Joven,Kylian Mbappé,36,Francia
9,2018,FIFA Fair Play,España,34,España
